substituent,SMILES for benzoic,SMILES for benzoate,Hammett Constant,SMILE Substituent,Isomer,Charge_acid,Multi_acid,Charge_benzoate,Multi_benzoate
N(CF3)C=O (F)-m,O=C(O)C1=CC=CC([N](C(=O)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([N](C(=O)F)C(F)(F)F)=C1,0.5,[N](C(=O)F)C(F)(F)F,1,0,1,-1,1
N(CF3)C=O (F)-p,O=C(O)C1=CC=C([N](C(=O)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([N](C(=O)F)C(F)(F)F)C=C1,0.5,[N](C(=O)F)C(F)(F)F,2,0,1,-1,1
CF2OCF2- -m,O=C(O)C1=CC=CC([C](F)(F)O[C-](F)F)=C1,O=C([O-])C1=CC=CC([C](F)(F)O[C-](F)F)=C1,0.81,[C](F)(F)O[C-](F)F,1,-1,1,-2,1
CF2OCF2- -p,O=C(O)C1=CC=C([C](F)(F)O[C-](F)F)C=C1,O=C([O-])C1=CC=C([C](F)(F)O[C-](F)F)C=C1,0.81,[C](F)(F)O[C-](F)F,2,-1,1,-2,1
N(CF3)2-m,O=C(O)C1=CC=CC([N](C(F)(F)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([N](C(F)(F)F)C(F)(F)F)=C1,0.4,[N](C(F)(F)F)C(F)(F)F,1,0,1,-1,1
N(CF3)2-p,O=C(O)C1=CC=C([N](C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([N](C(F)(F)F)C(F)(F)F)C=C1,0.53,[N](C(F)(F)F)C(F)(F)F,2,0,1,-1,1
S(CF3)=NSO2CF3-m,O=C(O)C1=CC=CC([S](=NS(=O)(=O)C(F)(F)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([S](=NS(=O)(=O)C(F)(F)F)C(F)(F)F)=C1,1.18,[S](=NS(=O)(=O)C(F)(F)F)C(F)(F)F,1,0,1,-1,1
S(CF3)=NSO2CF3-p,O=C(O)C1=CC=C([S](=NS(=O)(=O)C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([S](=NS(=O)(=O)C(F)(F)F)C(F)(F)F)C=C1,1.28,[S](=NS(=O)(=O)C(F)(F)F)C(F)(F)F,2,0,1,-1,1
SO(CF3)=SO2CF3-m,O=C(O)C1=CC=CC([S](=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([S](=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)=C1,1.23,[S](=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F,1,0,1,-1,1
SO(CF3)=SO2CF3-p,O=C(O)C1=CC=C([S](=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([S](=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)C=C1,1.4,[S](=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F,2,0,1,-1,1
N(SO2CF3)2-m,O=C(O)C1=CC=CC([N](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([N](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)=C1,0.61,[N](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,1,0,1,-1,1
N(SO2CF3)2-p,O=C(O)C1=CC=C([N](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([N](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C=C1,0.83,[N](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,2,0,1,-1,1
P(CF3)2-m,O=C(O)C1=CC=CC([P](C(F)(F)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([P](C(F)(F)F)C(F)(F)F)=C1,0.6,[P](C(F)(F)F)C(F)(F)F,1,0,1,-1,1
P(CF3)2-p,O=C(O)C1=CC=C([P](C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([P](C(F)(F)F)C(F)(F)F)C=C1,0.69,[P](C(F)(F)F)C(F)(F)F,2,0,1,-1,1
P(CN)2-m,O=C(O)C1=CC=CC([P](C#N)C#N)=C1,O=C([O-])C1=CC=CC([P](C#N)C#N)=C1,0.82,[P](C#N)C#N,1,0,1,-1,1
P(CN)2-p,O=C(O)C1=CC=C([P](C#N)C#N)C=C1,O=C([O-])C1=CC=C([P](C#N)C#N)C=C1,0.9,[P](C#N)C#N,2,0,1,-1,1
OCF2CHFCl-m,O=C(O)C1=CC=CC([O]C(F)(F)C(F)Cl)=C1,O=C([O-])C1=CC=CC([O]C(F)(F)C(F)Cl)=C1,0.35,[O]C(F)(F)C(F)Cl,1,0,1,-1,1
OCF2CHFCl-p,O=C(O)C1=CC=C([O]C(F)(F)C(F)Cl)C=C1,O=C([O-])C1=CC=C([O]C(F)(F)C(F)Cl)C=C1,0.28,[O]C(F)(F)C(F)Cl,2,0,1,-1,1
CH=NSO2CF3-m,O=C(O)C1=CC=CC([CH]=NS(=O)(=O)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([CH]=NS(=O)(=O)C(F)(F)F)=C1,0.76,[CH]=NS(=O)(=O)C(F)(F)F,1,0,1,-1,1
CH=NSO2CF3-p,O=C(O)C1=CC=C([CH]=NS(=O)(=O)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([CH]=NS(=O)(=O)C(F)(F)F)C=C1,1,[CH]=NS(=O)(=O)C(F)(F)F,2,0,1,-1,1
181-m,O=C(O)C1=CC=CC([n]2nnnc2SS=3NN=NN3)=C1,O=C([O-])C1=CC=CC([n]2nnnc2SS=3NN=NN3)=C1,0.63,[n]1nnnc1SS1=NN=NN1,1,0,1,-1,1
181-p,O=C(O)C1=CC=C([n]2nnnc2SS=3NN=NN3)C=C1,O=C([O-])C1=CC=C([n]2nnnc2SS=3NN=NN3)C=C1,0.64,[n]1nnnc1SS1=NN=NN1,2,0,1,-1,1
CH2CF3-m,O=C(O)C1=CC=CC([CH2]C(F)(F)F)=C1,O=C([O-])C1=CC=CC([CH2]C(F)(F)F)=C1,0.12,[CH2]C(F)(F)F,1,0,1,-1,1
CH2CF3-p,O=C(O)C1=CC=C([CH2]C(F)(F)F)C=C1,O=C([O-])C1=CC=C([CH2]C(F)(F)F)C=C1,0.09,[CH2]C(F)(F)F,2,0,1,-1,1
CH=CHNO2-t-m,O=C(O)C1=CC=CC([CH]=C[N+](=O)[O-])=C1,O=C([O-])C1=CC=CC([CH]=C[N+](=O)[O-])=C1,0.32,[CH]=C[N+](=O)[O-],1,-1,1,-2,1
CH=CHNO2-t-p,O=C(O)C1=CC=C([CH]=C[N+](=O)[O-])C=C1,O=C([O-])C1=CC=C([CH]=C[N+](=O)[O-])C=C1,0.26,[CH]=C[N+](=O)[O-],2,-1,1,-2,1
N(Me)SO2CF3-m,O=C(O)C1=CC=CC([N](C)S(=O)(=O)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([N](C)S(=O)(=O)C(F)(F)F)=C1,0.46,[N](C)S(=O)(=O)C(F)(F)F,1,0,1,-1,1
N(Me)SO2CF3-p,O=C(O)C1=CC=C([N](C)S(=O)(=O)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([N](C)S(=O)(=O)C(F)(F)F)C=C1,0.44,[N](C)S(=O)(=O)C(F)(F)F,2,0,1,-1,1
HgOCOCH3-m,O=C(O)C1=CC=CC([Hg]OC(=O)C)=C1,O=C([O-])C1=CC=CC([Hg]OC(=O)C)=C1,0.39,[Hg]OC(=O)C,1,0,1,-1,1
HgOCOCH3-p,O=C(O)C1=CC=C([Hg]OC(=O)C)C=C1,O=C([O-])C1=CC=C([Hg]OC(=O)C)C=C1,0.4,[Hg]OC(=O)C,2,0,1,-1,1
Oxiranyl-m,O=C(O)C1=CC=CC([CH]2CO2)=C1,O=C([O-])C1=CC=CC([CH]2CO2)=C1,0.05,[CH]1CO1,1,0,1,-1,1
Oxiranyl-p,O=C(O)C1=CC=C([CH]2CO2)C=C1,O=C([O-])C1=CC=C([CH]2CO2)C=C1,0.03,[CH]1CO1,2,0,1,-1,1
2-thiacyclopropyl-m,O=C(O)C1=CC=CC([CH]2CS2)=C1,O=C([O-])C1=CC=CC([CH]2CS2)=C1,0.04,[CH]1CS1,1,0,1,-1,1
2-thiacyclopropyl-p,O=C(O)C1=CC=C([CH]2CS2)C=C1,O=C([O-])C1=CC=C([CH]2CS2)C=C1,0.01,[CH]1CS1,2,0,1,-1,1
1-aziridinyl-m,O=C(O)C1=CC=CC([N]2CC2)=C1,O=C([O-])C1=CC=CC([N]2CC2)=C1,-0.07,[N]1CC1,1,0,1,-1,1
1-aziridinyl-p,O=C(O)C1=CC=C([N]2CC2)C=C1,O=C([O-])C1=CC=C([N]2CC2)C=C1,-0.02,[N]1CC1,2,0,1,-1,1
2-aziridinyl-m,O=C(O)C1=CC=CC([CH]2NC2)=C1,O=C([O-])C1=CC=CC([CH]2NC2)=C1,-0.06,[CH]1NC1,1,0,1,-1,1
2-aziridinyl-p,O=C(O)C1=CC=C([CH]2NC2)C=C1,O=C([O-])C1=CC=C([CH]2NC2)C=C1,-0.1,[CH]1NC1,2,0,1,-1,1
N-methyl-3-oxaziridinyl-m,O=C(O)C1=CC=CC([N](C)C2NO2)=C1,O=C([O-])C1=CC=CC([N](C)C2NO2)=C1,0.09,[N](C)C1NO1,1,0,1,-1,1
N-methyl-3-oxaziridinyl-p,O=C(O)C1=CC=C([N](C)C2NO2)C=C1,O=C([O-])C1=CC=C([N](C)C2NO2)C=C1,0.12,[N](C)C1NO1,2,0,1,-1,1
CH=NOMe-m,O=C(O)C1=CC=CC([CH]=NOC)=C1,O=C([O-])C1=CC=CC([CH]=NOC)=C1,0.37,[CH]=NOC,1,0,1,-1,1
CH=NOMe-p,O=C(O)C1=CC=C([CH]=NOC)C=C1,O=C([O-])C1=CC=C([CH]=NOC)C=C1,0.3,[CH]=NOC,2,0,1,-1,1
CH2CONH2-m,O=C(O)C1=CC=CC([CH2]C(=O)N)=C1,O=C([O-])C1=CC=CC([CH2]C(=O)N)=C1,0.06,[CH2]C(=O)N,1,0,1,-1,1
CH2CONH2-p,O=C(O)C1=CC=C([CH2]C(=O)N)C=C1,O=C([O-])C1=CC=C([CH2]C(=O)N)C=C1,0.07,[CH2]C(=O)N,2,0,1,-1,1
CH=NNHCSNH2-m,O=C(O)C1=CC=CC([CH]=NNC(=S)N)=C1,O=C([O-])C1=CC=CC([CH]=NNC(=S)N)=C1,0.45,[CH]=NNC(=S)N,1,0,1,-1,1
CH=NNHCSNH2-p,O=C(O)C1=CC=C([CH]=NNC(=S)N)C=C1,O=C([O-])C1=CC=C([CH]=NNC(=S)N)C=C1,0.4,[CH]=NNC(=S)N,2,0,1,-1,1
OCH2CH2O- -m,O=C(O)C1=CC=CC([O]CC[O-])=C1,O=C([O-])C1=CC=CC([O]CC[O-])=C1,-0.12,[O]CC[O-],1,-1,1,-2,1
OCH2CH2O- -p,O=C(O)C1=CC=C([O]CC[O-])C=C1,O=C([O-])C1=CC=C([O]CC[O-])C=C1,-0.12,[O]CC[O-],2,-1,1,-2,1
CH=NNHCONHNH2-m,O=C(O)C1=CC=CC([CH]=NNC(=O)NN)=C1,O=C([O-])C1=CC=CC([CH]=NNC(=O)NN)=C1,0.22,[CH]=NNC(=O)NN,1,0,1,-1,1
CH=NNHCONHNH2-p,O=C(O)C1=CC=C([CH]=NNC(=O)NN)C=C1,O=C([O-])C1=CC=C([CH]=NNC(=O)NN)C=C1,0.16,[CH]=NNC(=O)NN,2,0,1,-1,1
CH(OH)Me-m,O=C(O)C1=CC=CC([CH](O)C)=C1,O=C([O-])C1=CC=CC([CH](O)C)=C1,0.08,[CH](O)C,1,0,1,-1,1
CH(OH)Me-p,O=C(O)C1=CC=C([CH](O)C)C=C1,O=C([O-])C1=CC=C([CH](O)C)C=C1,-0.07,[CH](O)C,2,0,1,-1,1
CH2OMe-m,O=C(O)C1=CC=CC([CH2]OC)=C1,O=C([O-])C1=CC=CC([CH2]OC)=C1,0.08,[CH2]OC,1,0,1,-1,1
CH2OMe-p,O=C(O)C1=CC=C([CH2]OC)C=C1,O=C([O-])C1=CC=C([CH2]OC)C=C1,0.01,[CH2]OC,2,0,1,-1,1
P(Cl)NMe2-m,O=C(O)C1=CC=CC([P](Cl)N(C)C)=C1,O=C([O-])C1=CC=CC([P](Cl)N(C)C)=C1,0.38,[P](Cl)N(C)C,1,0,1,-1,1
P(Cl)NMe2-p,O=C(O)C1=CC=C([P](Cl)N(C)C)C=C1,O=C([O-])C1=CC=C([P](Cl)N(C)C)C=C1,0.56,[P](Cl)N(C)C,2,0,1,-1,1
CH2SC(NH2)2+ -m,O=C(O)C1=CC=CC([CH2]S[C+](N)N)=C1,O=C([O-])C1=CC=CC([CH2]S[C+](N)N)=C1,0.13,[CH2]S[C+](N)N,1,1,1,0,1
CH2SC(NH2)2+ -p,O=C(O)C1=CC=C([CH2]S[C+](N)N)C=C1,O=C([O-])C1=CC=C([CH2]S[C+](N)N)C=C1,0.15,[CH2]S[C+](N)N,2,1,1,0,1
SiClMe2-m,O=C(O)C1=CC=CC([Si](Cl)(C)C)=C1,O=C([O-])C1=CC=CC([Si](Cl)(C)C)=C1,0.16,[Si](Cl)(C)C,1,0,1,-1,1
SiClMe2-p,O=C(O)C1=CC=C([Si](Cl)(C)C)C=C1,O=C([O-])C1=CC=C([Si](Cl)(C)C)C=C1,0.21,[Si](Cl)(C)C,2,0,1,-1,1
SiFMe2-m,O=C(O)C1=CC=CC([Si](F)(C)C)=C1,O=C([O-])C1=CC=CC([Si](F)(C)C)=C1,0.12,[Si](F)(C)C,1,0,1,-1,1
SiFMe2-p,O=C(O)C1=CC=C([Si](F)(C)C)C=C1,O=C([O-])C1=CC=C([Si](F)(C)C)C=C1,0.17,[Si](F)(C)C,2,0,1,-1,1
N(Me)SO2Me-m,O=C(O)C1=CC=CC([N](C)S(=O)(=O)C)=C1,O=C([O-])C1=CC=CC([N](C)S(=O)(=O)C)=C1,0.21,[N](C)S(=O)(=O)C,1,0,1,-1,1
N(Me)SO2Me-p,O=C(O)C1=CC=C([N](C)S(=O)(=O)C)C=C1,O=C([O-])C1=CC=C([N](C)S(=O)(=O)C)C=C1,0.24,[N](C)S(=O)(=O)C,2,0,1,-1,1
SO2NMe2-m,O=C(O)C1=CC=CC([S](=O)(=O)N(C)C)=C1,O=C([O-])C1=CC=CC([S](=O)(=O)N(C)C)=C1,0.51,[S](=O)(=O)N(C)C,1,0,1,-1,1
SO2NMe2-p,O=C(O)C1=CC=C([S](=O)(=O)N(C)C)C=C1,O=C([O-])C1=CC=C([S](=O)(=O)N(C)C)C=C1,0.65,[S](=O)(=O)N(C)C,2,0,1,-1,1
N(SO2Me)2-m,O=C(O)C1=CC=CC([N](S(=O)(=O)C)S(=O)(=O)C)=C1,O=C([O-])C1=CC=CC([N](S(=O)(=O)C)S(=O)(=O)C)=C1,0.47,[N](S(=O)(=O)C)S(=O)(=O)C,1,0,1,-1,1
N(SO2Me)2-p,O=C(O)C1=CC=C([N](S(=O)(=O)C)S(=O)(=O)C)C=C1,O=C([O-])C1=CC=C([N](S(=O)(=O)C)S(=O)(=O)C)C=C1,0.49,[N](S(=O)(=O)C)S(=O)(=O)C,2,0,1,-1,1
N=NNMe2-m,O=C(O)C1=CC=CC([N]=NN(C)C)=C1,O=C([O-])C1=CC=CC([N]=NN(C)C)=C1,-0.05,[N]=NN(C)C,1,0,1,-1,1
N=NNMe2-p,O=C(O)C1=CC=C([N]=NN(C)C)C=C1,O=C([O-])C1=CC=C([N]=NN(C)C)C=C1,-0.03,[N]=NN(C)C,2,0,1,-1,1
N(Me)N+=(Me)N- -m,O=C(O)C1=CC=CC([N]([N+](=[N-])C)C)=C1,O=C([O-])C1=CC=CC([N]([N+](=[N-])C)C)=C1,1.17,[N]([N+](=[N-])C)C,1,0,1,-1,1
N(Me)N+=(Me)N- -p,O=C(O)C1=CC=C([N]([N+](=[N-])C)C)C=C1,O=C([O-])C1=CC=C([N]([N+](=[N-])C)C)C=C1,1.17,[N]([N+](=[N-])C)C,2,0,1,-1,1
P(O)Me2-m,O=C(O)C1=CC=CC([P](O)(C)C)=C1,O=C([O-])C1=CC=CC([P](O)(C)C)=C1,0.43,[P](O)(C)C,1,0,1,-1,1
P(O)Me2-p,O=C(O)C1=CC=C([P](O)(C)C)C=C1,O=C([O-])C1=CC=C([P](O)(C)C)C=C1,0.5,[P](O)(C)C,2,0,1,-1,1
PO(OMe)2-m,O=C(O)C1=CC=CC([P](=O)(OC)OC)=C1,O=C([O-])C1=CC=CC([P](=O)(OC)OC)=C1,0.42,[P](=O)(OC)OC,1,0,1,-1,1
PO(OMe)2-p,O=C(O)C1=CC=C([P](=O)(OC)OC)C=C1,O=C([O-])C1=CC=C([P](=O)(OC)OC)C=C1,0.53,[P](=O)(OC)OC,2,0,1,-1,1
S+(Me)2tosyl-m,O=C(O)C1=CC=CC([SH+](S(=O)(c2ccc(C)cc2)=O)(C)C)=C1,O=C([O-])C1=CC=CC([SH+](S(=O)(c2ccc(C)cc2)=O)(C)C)=C1,1.06,[SH+](S(=O)(c1ccc(C)cc1)=O)(C)C,1,1,1,0,1
S+(Me)2tosyl-p,O=C(O)C1=CC=C([SH+](S(=O)(c2ccc(C)cc2)=O)(C)C)C=C1,O=C([O-])C1=CC=C([SH+](S(=O)(c2ccc(C)cc2)=O)(C)C)C=C1,0.96,[SH+](S(=O)(c1ccc(C)cc1)=O)(C)C,2,1,1,0,1
CF=CFCF3-t-m,O=C(O)C1=CC=CC([C](=C(\C(F)(F)F)/F)\F)=C1,O=C([O-])C1=CC=CC([C](=C(\C(F)(F)F)/F)\F)=C1,0.39,[C](=C(\C(F)(F)F)/F)\F,1,0,1,-1,1
CF=CFCF3-t-p,O=C(O)C1=CC=C([C](=C(\C(F)(F)F)/F)\F)C=C1,O=C([O-])C1=CC=C([C](=C(\C(F)(F)F)/F)\F)C=C1,0.46,[C](=C(\C(F)(F)F)/F)\F,2,0,1,-1,1
N=C(CF3)2-m,O=C(O)C1=CC=CC([N]=C(C(F)(F)F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([N]=C(C(F)(F)F)C(F)(F)F)=C1,0.29,[N]=C(C(F)(F)F)C(F)(F)F,1,0,1,-1,1
N=C(CF3)2-p,O=C(O)C1=CC=C([N]=C(C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([N]=C(C(F)(F)F)C(F)(F)F)C=C1,0.23,[N]=C(C(F)(F)F)C(F)(F)F,2,0,1,-1,1
CH(SCF3)2-m,O=C(O)C1=CC=CC([CH](SC(F)(F)F)SC(F)(F)F)=C1,O=C([O-])C1=CC=CC([CH](SC(F)(F)F)SC(F)(F)F)=C1,0.44,[CH](SC(F)(F)F)SC(F)(F)F,1,0,1,-1,1
CH(SCF3)2-p,O=C(O)C1=CC=C([CH](SC(F)(F)F)SC(F)(F)F)C=C1,O=C([O-])C1=CC=C([CH](SC(F)(F)F)SC(F)(F)F)C=C1,0.44,[CH](SC(F)(F)F)SC(F)(F)F,2,0,1,-1,1
CH(CN)2-m,O=C(O)C1=CC=CC([CH](C#N)C#N)=C1,O=C([O-])C1=CC=CC([CH](C#N)C#N)=C1,0.53,[CH](C#N)C#N,1,0,1,-1,1
CH(CN)2-p,O=C(O)C1=CC=C([CH](C#N)C#N)C=C1,O=C([O-])C1=CC=C([CH](C#N)C#N)C=C1,0.52,[CH](C#N)C#N,2,0,1,-1,1
CH=CHCF3-c-m,O=C(O)C1=CC=CC(/C(=C\C(F)(F)F))=C1,O=C([O-])C1=CC=CC(/C(=C\C(F)(F)F))=C1,0.16,[CH](=C\C(F)(F)F),1,0,1,-1,1
CH=CHCF3-c-p,O=C(O)C1=CC=C(/C(=C\C(F)(F)F))C=C1,O=C([O-])C1=CC=C(/C(=C\C(F)(F)F))C=C1,0.17,[CH](=C\C(F)(F)F),2,0,1,-1,1
CH=CHCF3-t-m,O=C(O)C1=CC=CC(/C(=C/C(F)(F)F))=C1,O=C([O-])C1=CC=CC(/C(=C/C(F)(F)F))=C1,0.24,[CH](=C/C(F)(F)F),1,0,1,-1,1
CH=CHCF3-t-p,O=C(O)C1=CC=C(/C(=C/C(F)(F)F))C=C1,O=C([O-])C1=CC=C(/C(=C/C(F)(F)F))C=C1,0.27,[CH](=C/C(F)(F)F),2,0,1,-1,1
CH=CHSO2CF3-m,O=C(O)C1=CC=CC([CH]=CS(=O)(=O)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([CH]=CS(=O)(=O)C(F)(F)F)=C1,0.31,[CH]=CS(=O)(=O)C(F)(F)F,1,0,1,-1,1
CH=CHSO2CF3-p,O=C(O)C1=CC=C([CH]=CS(=O)(=O)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([CH]=CS(=O)(=O)C(F)(F)F)C=C1,0.55,[CH]=CS(=O)(=O)C(F)(F)F,2,0,1,-1,1
CH=CHCN-m,O=C(O)C1=CC=CC([CH]=CC#N)=C1,O=C([O-])C1=CC=CC([CH]=CC#N)=C1,0.24,[CH]=CC#N,1,0,1,-1,1
CH=CHCN-p,O=C(O)C1=CC=C([CH]=CC#N)C=C1,O=C([O-])C1=CC=C([CH]=CC#N)C=C1,0.17,[CH]=CC#N,2,0,1,-1,1
N(Me)COCF3-m,O=C(O)C1=CC=CC([N](C)C(=O)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([N](C)C(=O)C(F)(F)F)=C1,0.41,[N](C)C(=O)C(F)(F)F,1,0,1,-1,1
N(Me)COCF3-p,O=C(O)C1=CC=C([N](C)C(=O)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([N](C)C(=O)C(F)(F)F)C=C1,0.39,[N](C)C(=O)C(F)(F)F,2,0,1,-1,1
CH=CHCHO-m,O=C(O)C1=CC=CC([CH]=CC=O)=C1,O=C([O-])C1=CC=CC([CH]=CC=O)=C1,0.24,[CH]=CC=O,1,0,1,-1,1
CH=CHCHO-p,O=C(O)C1=CC=C([CH]=CC=O)C=C1,O=C([O-])C1=CC=C([CH]=CC=O)C=C1,0.13,[CH]=CC=O,2,0,1,-1,1
CH=CHMe-t-m,O=C(O)C1=CC=CC(\C(=C\C))=C1,O=C([O-])C1=CC=CC(\C(=C\C))=C1,0.02,[CH](=C\C),1,0,1,-1,1
CH=CHMe-t-p,O=C(O)C1=CC=C(\C(=C\C))C=C1,O=C([O-])C1=CC=C(\C(=C\C))C=C1,-0.09,[CH](=C\C),2,0,1,-1,1
C(Et)(NO2)2-m,O=C(O)C1=CC=CC([CH](CC)([N+](=O)[O-])[N+](=O)[O-])=C1,O=C([O-])C1=CC=CC([CH](CC)([N+](=O)[O-])[N+](=O)[O-])=C1,0.56,[CH](CC)([N+](=O)[O-])[N+](=O)[O-],1,0,1,-1,1
C(Et)(NO2)2-p,O=C(O)C1=CC=C([CH](CC)([N+](=O)[O-])[N+](=O)[O-])C=C1,O=C([O-])C1=CC=C([CH](CC)([N+](=O)[O-])[N+](=O)[O-])C=C1,0.64,[CH](CC)([N+](=O)[O-])[N+](=O)[O-],2,0,1,-1,1
COEt-m,O=C(O)C1=CC=CC([CH](=O)CC)=C1,O=C([O-])C1=CC=CC([CH](=O)CC)=C1,0.38,[CH](=O)CC,1,0,1,-1,1
COEt-p,O=C(O)C1=CC=C([CH](=O)CC)C=C1,O=C([O-])C1=CC=C([CH](=O)CC)C=C1,0.48,[CH](=O)CC,2,0,1,-1,1
COOEt-m,O=C(O)C1=CC=CC([C](=O)OCC)=C1,O=C([O-])C1=CC=CC([C](=O)OCC)=C1,0.37,[C](=O)OCC,1,0,1,-1,1
COOEt-p,O=C(O)C1=CC=C([C](=O)OCC)C=C1,O=C([O-])C1=CC=C([C](=O)OCC)C=C1,0.45,[C](=O)OCC,2,0,1,-1,1
CH2OCOMe-m,O=C(O)C1=CC=CC([CH2]OC(=O)C)=C1,O=C([O-])C1=CC=CC([CH2]OC(=O)C)=C1,0.04,[CH2]OC(=O)C,1,0,1,-1,1
CH2OCOMe-p,O=C(O)C1=CC=C([CH2]OC(=O)C)C=C1,O=C([O-])C1=CC=C([CH2]OC(=O)C)C=C1,0.05,[CH2]OC(=O)C,2,0,1,-1,1
CH2CH2COOH-m,O=C(O)C1=CC=CC([CH2]CC(=O)O)=C1,O=C([O-])C1=CC=CC([CH2]CC(=O)[O-])=C1,-0.03,[CH2]CC(=O)O,1,0,1,-1,1
CH2CH2COOH-p,O=C(O)C1=CC=C([CH2]CC(=O)O)C=C1,O=C([O-])C1=CC=C([CH2]CC(=O)[O-])C=C1,-0.07,[CH2]CC(=O)O,2,0,1,-1,1
SeCH2CH=CH2-m,O=C(O)C1=CC=CC([Se]CC=C)=C1,O=C([O-])C1=CC=CC([Se]CC=C)=C1,0.21,[Se]CC=C,1,0,1,-1,1
SeCH2CH=CH2-p,O=C(O)C1=CC=C([Se]CC=C)C=C1,O=C([O-])C1=CC=C([Se]CC=C)C=C1,0.12,[Se]CC=C,2,0,1,-1,1
CH2CH2CH2- -m,O=C(O)C1=CC=CC([CH2]C[CH2-])=C1,O=C([O-])C1=CC=CC([CH2]C[CH2-])=C1,-0.26,[CH2]C[CH2-],1,-1,1,-2,1
CH2CH2CH2- -p,O=C(O)C1=CC=C([CH2]C[CH2-])C=C1,O=C([O-])C1=CC=C([CH2]C[CH2-])C=C1,-0.26,[CH2]C[CH2-],2,-1,1,-2,1
N(Me)COMe-m,O=C(O)C1=CC=CC([N](C)C(=O)C)=C1,O=C([O-])C1=CC=CC([N](C)C(=O)C)=C1,0.31,[N](C)C(=O)C,1,0,1,-1,1
N(Me)COMe-p,O=C(O)C1=CC=C([N](C)C(=O)C)C=C1,O=C([O-])C1=CC=C([N](C)C(=O)C)C=C1,0.26,[N](C)C(=O)C,2,0,1,-1,1
CH2NHCOMe-m,O=C(O)C1=CC=CC([CH2]NC(=O)C)=C1,O=C([O-])C1=CC=CC([CH2]NC(=O)C)=C1,0.05,[CH2]NC(=O)C,1,0,1,-1,1
CH2NHCOMe-p,O=C(O)C1=CC=C([CH2]NC(=O)C)C=C1,O=C([O-])C1=CC=C([CH2]NC(=O)C)C=C1,-0.05,[CH2]NC(=O)C,2,0,1,-1,1
NHCOOEt-m,O=C(O)C1=CC=CC([NH]C(=O)OCC)=C1,O=C([O-])C1=CC=CC([NH]C(=O)[O-]CC)=C1,0.11,[NH]C(=O)OCC,1,0,1,-1,1
NHCOOEt-p,O=C(O)C1=CC=C([NH]C(=O)OCC)C=C1,O=C([O-])C1=CC=C([NH]C(=O)[O-]CC)C=C1,-0.15,[NH]C(=O)OCC,2,0,1,-1,1
C(NO2)Me2-m,O=C(O)C1=CC=CC([CH]([N+](=O)[O-])(C)C)=C1,O=C([O-])C1=CC=CC([CH]([N+](=O)[O-])(C)C)=C1,0.18,[CH]([N+](=O)[O-])(C)C,1,0,1,-1,1
C(NO2)Me2-p,O=C(O)C1=CC=C([CH]([N+](=O)[O-])(C)C)C=C1,O=C([O-])C1=CC=C([CH]([N+](=O)[O-])(C)C)C=C1,0.2,[CH]([N+](=O)[O-])(C)C,2,0,1,-1,1
OCH2CH2CH2O- -m,O=C(O)C1=CC=CC([O]CCC[O-])=C1,O=C([O-])C1=CC=CC([O]CCC[O-])=C1,0,[O]CCC[O-],1,0,1,-1,1
OCH2CH2CH2O- -p,O=C(O)C1=CC=C([O]CCC[O-])C=C1,O=C([O-])C1=CC=C([O]CCC[O-])C=C1,0,[O]CCC[O-],2,0,1,-1,1
